,Title,Price,Description,Image,docno
0,Napoli-Ferdin.II,"€ 195,00",120 grana-1857,https://www.numismaticatrionfale.com/public/img/1oqsqrrqtqururtqr5fe.jpg,1
1,50 cents,"€ 42,00",1908,https://www.numismaticatrionfale.com/public/img/elaborate/phasqrrrqryssswsv07e_lista90x90.jpg,2
2,Tripolitania,"€ 20,00",6,https://www.numismaticatrionfale.com/public/img/elaborate/atysqrsqtssrtvuuwqw3_lista90x90.jpg,3
3,1000 sucres,"€ 12,00",1988,https://www.numismaticatrionfale.com/public/img/elaborate/d31sqrsqvsrrvqzqqg70_lista90x90.jpg,4
4,A.Bertiglia - Bambini innamorati,"€ 8,00",10,https://www.numismaticatrionfale.com/public/img/elaborate/dcysqrsqurysqturwq10_lista90x90.jpg,5
5,Pontificio Pio VI - ROMA,"€ 48,00",2 baiocchi romani 1795 A.XXI,https://www.numismaticatrionfale.com/public/img/elaborate/3npsqrsqsqsrwvutqzan_lista90x90.jpg,6
6,Umberto I - Unificazione d'Italia 1848/1870 (fronte),"€ 35,00",Bronzo dorato,https://www.numismaticatrionfale.com/public/img/elaborate/unita_lista90x90.jpg,7
7,5 shilling,"€ 22,00",1943,https://www.numismaticatrionfale.com/public/img/elaborate/lvisqrqqvrzrruruy074_lista90x90.jpg,8
8,50 centavos,"€ 22,00",1953,https://www.numismaticatrionfale.com/public/img/elaborate/gvlsqqyrsqvrzqrus9ce_lista90x90.jpg,9
9,Regione Militare Centrale (fronte),"€ 15,00",Metallo bianco,https://www.numismaticatrionfale.com/public/img/regione.JPG,10
10,Prestito Nazionale (Mario Borgoni),"€ 15,00",15,https://www.numismaticatrionfale.com/public/img/elaborate/1pgsqrsqtsvsrrvtv3uf_lista90x90.jpg,11
11,Pontificio Pio VI  ann.XXII - ROMA,"€ 75,00",2 1/2 baiocchi  romani 1796,https://www.numismaticatrionfale.com/public/img/elaborate/6x8sqrrqurzrwvvsulwm_lista90x90.jpg,12
12,Napoli Ferdin. IV,"€ 430,00",120 grana-1805-scudo medio,https://www.numismaticatrionfale.com/public/img/elaborate/k80sqqzqusursvwsx7mx_lista90x90.jpg,13
13,Pontificio Pio IX,"€ 55,00",10 soldi 1867 A.XXII        PON.,https://www.numismaticatrionfale.com/public/img/elaborate/nqdsqqxrqrvrzsuuqq0a_lista90x90.jpg,14
14,Carabinieri - Legione Allievi Reali 1934 (fronte),"€ 35,00",Bronzo,https://www.numismaticatrionfale.com/public/img/elaborate/carabinieriiiiiiiiiiiiii_lista90x90.jpg,15
15,Opera Balilla VII° Corso Dirigenti Insegnanti - Roma A.XIII - spilla rotta (fronte),"€ 35,00",Metallo bianco,https://www.numismaticatrionfale.com/public/img/49 f.JPG,16
16,Lire 5 correnti-1848,"€ 18,00",16,https://www.numismaticatrionfale.com/public/img/elaborate/4d5sqrqqvrzrrsxqqiqz_lista90x90.jpg,17
17,Carlo Felice,"€ 180,00",5 Lire 1826/Torino,https://www.numismaticatrionfale.com/public/img/voisqqxrqrvrzsruzgpb.jpg,18
18,Gibraltar Banknotes - 5 Pounds - Commemorative  - ND 1995  - Tarik Bin Ziyad  - UNC,"± 109,02 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/916/269/332_001.jpg?v=3,19
19,LIBAN * : 50 000 LIVRES   2013 **   P 96     NEUF,"± 33,18 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/900/865/472_001.jpg?v=1,20
20,RÉPUBLIQUE DE TURQUIE * : 25 KURUS   1341  (1922 du calendrier chrétien)   KM 833    SUP+ **,"± 21,33 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/878/474/333_001.jpg?v=3,21
21,1 LEPTON 1878 K  GRIEKENLAND /2062/,"± 14,46 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/918/094/817_001.jpg?v=3,22
22,SWITZERLAND - 1 FRANC - 1944 B - KM # 24,"± 4,73 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/586/138_001.jpg?v=1,23
23,Médaille comice agricole de SAINT DIE décernée à Thierry à CHAMPRAY 88 Vosges ( création et irrigation de prairies 1877,"± 39,66 CHF",,https://www.delcampe.net/static/img_thumb/auction/001/922/584/509_001.jpg?v=2,24
